Item,Qty,Reference(s),Value,Mouser
1,2,"C1, C2",10uF,667-ECA-1HM100I
2,10,"C3, C4, C5, C6, C7, C8, C9, C10, C11, C12",0.1uF,594-K104K15X7RF5TH5
3,1,D1,5V,604-WP7113SGD5V
4,1,D2,12V,604-WP7113SGD5V
5,1,D3,-12V,604-WP7113SGD5V
6,2,"D4, D5",INND-TS40,743-INND-TS40RAB
7,1,J1,BUS_MCA,
8,2,"J2, J3",HPLA_PORT,
9,1,J4,SWAP,
10,1,R1,10K,603-CFR-25JR-5210K
11,1,R2,330,603-CFR-25JR-52330R
12,2,"R3, R4",1K,603-CFR-25JR-521K
13,2,"RN1, RN2",470,652-4609X-AP1-471LF
14,2,"RN3, RN4",560,652-4114R-1LF-560
15,4,"SW1, SW2, SW3, SW4",FR01KR16H-S,633-FR01KR16H-S
16,4,"TP1, TP2, TP3, TP4",TestPoint,
17,1,U1,74F10,595-SN74F10N
18,1,U2,74F00,595-SN74F00NE4
19,1,U3,74F175,595-SN74F175N
20,2,"U4, U5",74F521,595-SN74F521N
21,3,"U6, U7, U8",GAL16V8,556-AF16V8CZ15PU
22,1,U10,HDSP-211X,630-HDSP-2113
